[13.6.2011 | 16:39:06] /carcolor 1
[13.6.2011 | 16:40:30] /giveweapon 1 colt 10000
[13.6.2011 | 16:50:41] /spawnc sultan
[13.6.2011 | 16:51:50] /giveweapon 0 minigun 10000
[13.6.2011 | 16:52:06] /carcolor 0
[13.6.2011 | 16:52:11] /carcolor 0
[13.6.2011 | 16:53:03] /ann /spawnc lspd
[13.6.2011 | 16:53:05] /ann /spawnc lspd
[13.6.2011 | 16:53:11] /ann /spawnc lspd
[13.6.2011 | 16:53:21] /ann èåôø
[13.6.2011 | 17:00:19] /ann /cs t
[13.6.2011 | 17:00:57] /giveweapon 1 sniper 10000
[13.6.2011 | 17:03:08] /goto 0
[13.6.2011 | 17:04:43] /goto 3
[13.6.2011 | 17:09:22] /givemoney 1 2000
[13.6.2011 | 17:10:34] /goto 0
[13.6.2011 | 17:12:03] /spawnc sultan
[13.6.2011 | 17:12:16] /givemoney 1 2000
[13.6.2011 | 17:14:14] /givemoney 1 100000
[13.6.2011 | 17:14:49] /full 
[13.6.2011 | 17:14:51] /xcmds 
[13.6.2011 | 17:15:25] /giveweapon 1 grenade 10000
[13.6.2011 | 17:15:53] /giveweapon 1 grenade 10000
[13.6.2011 | 17:19:46] /givemoney 1 10000
[13.6.2011 | 17:19:58] /goto 3
[13.6.2011 | 17:20:55] /givemoney 1 10000
[13.6.2011 | 17:20:55] /givemoney 1 10000
[13.6.2011 | 17:20:56] /givemoney 1 10000
[13.6.2011 | 17:20:56] /givemoney 1 10000
[13.6.2011 | 17:20:56] /givemoney 1 10000
[13.6.2011 | 17:20:56] /givemoney 1 10000
[13.6.2011 | 17:20:56] /givemoney 1 10000
[13.6.2011 | 17:20:57] /givemoney 1 10000
[13.6.2011 | 17:20:57] /givemoney 1 10000
[13.6.2011 | 17:20:57] /givemoney 1 10000
[13.6.2011 | 17:20:57] /givemoney 1 10000
[13.6.2011 | 17:20:58] /givemoney 1 10000
[13.6.2011 | 17:20:58] /givemoney 1 10000
[13.6.2011 | 17:20:59] /givemoney 1 10000
[13.6.2011 | 17:20:59] /givemoney 1 10000
[13.6.2011 | 17:21:00] /givemoney 1 10000
[13.6.2011 | 17:21:01] /givemoney 1 10000
[13.6.2011 | 17:21:01] /givemoney 1 10000
[13.6.2011 | 17:21:01] /givemoney 1 10000
[13.6.2011 | 17:21:02] /givemoney 1 10000
[13.6.2011 | 17:21:02] /givemoney 1 10000
[13.6.2011 | 17:21:03] /givemoney 1 10000
[13.6.2011 | 17:21:04] /givemoney 1 10000
[13.6.2011 | 17:21:22] /goto 0
[13.6.2011 | 17:21:52] /spawnc jester
[13.6.2011 | 17:22:29] /givemoney 0 1
[13.6.2011 | 17:22:34] /givemoney 1 1000000
[13.6.2011 | 17:22:35] /givemoney 1 1000000
[13.6.2011 | 17:22:35] /givemoney 1 1000000
[13.6.2011 | 17:22:43] /ann spawnc
[13.6.2011 | 17:23:08] /givemoney 1 1000000
[13.6.2011 | 17:23:15] /goto 0
[13.6.2011 | 17:24:05] /givemoney 1 1000000
[13.6.2011 | 17:24:49] /givemoney 1 1000000
[13.6.2011 | 17:25:56] /givemoney 1 100000
[13.6.2011 | 19:00:55] /full 
[13.6.2011 | 19:01:10] /akill 0
[13.6.2011 | 19:01:14] /akill 0
[13.6.2011 | 19:01:15] /akill 0
[13.6.2011 | 19:01:17] /akill 0
[13.6.2011 | 19:03:48] /spawnc rhino
[13.6.2011 | 19:04:41] /spawnc nrg
[13.6.2011 | 19:04:55] /spawnc hunter
[13.6.2011 | 19:05:15] /spawnc hunter
[13.6.2011 | 19:05:48] /god 
[13.6.2011 | 19:05:53] /spawnc tank
[13.6.2011 | 19:07:22] /god 
[13.6.2011 | 19:11:17] /xspec 0
[13.6.2011 | 19:11:28] /xspec off
[13.6.2011 | 19:22:06] /goto 0
[13.6.2011 | 20:09:45] /ann Hi
[13.6.2011 | 20:16:15] /spawnc nrg
[13.6.2011 | 20:19:32] /spawnc nrg
[13.6.2011 | 20:29:49] /get 1
[13.6.2011 | 20:44:17] /spawnc buffalo
[13.6.2011 | 20:46:41] /givemoney 2 1000000
[13.6.2011 | 21:06:56] /spawnc nrg
[13.6.2011 | 21:07:30] /spawnc nrg
[13.6.2011 | 21:08:32] /goto 0
[13.6.2011 | 21:09:58] /full 
[13.6.2011 | 21:12:51] /spawnc nrg
[14.6.2011 | 14:38:49] /spawnc elegy
[14.6.2011 | 14:55:07] /get 3
[14.6.2011 | 14:55:11] /get 0
[14.6.2011 | 19:24:33] /akill 1
[14.6.2011 | 19:24:37] /get 1
[14.6.2011 | 19:24:57] /get 1
[14.6.2011 | 19:26:02] /goto 0
[14.6.2011 | 19:28:08] /flip 
[14.6.2011 | 19:28:32] /get 1
[14.6.2011 | 19:28:39] /get 1
[14.6.2011 | 19:28:43] /get 1
[14.6.2011 | 19:28:43] /get 1
[14.6.2011 | 19:28:43] /get 1
[14.6.2011 | 19:28:54] /get 1
[14.6.2011 | 19:29:55] /spawnc packer
[14.6.2011 | 19:30:33] /get 1
[14.6.2011 | 19:30:37] /goto 1
[14.6.2011 | 19:31:06] /get 1
